lmdn	lmdp
-5.823942	-4.354389
-5.815327	-4.453872
-5.650544	-4.527094
-5.703084	-4.543854
-5.724625	-4.439953
-5.787381	-4.409616
-5.746253	-4.497956
-5.770738	-4.515445
-5.820748	-4.359107
-5.793521	-4.507197
-5.92394	-4.360122
-5.868333	-4.402921
-5.915207	-4.343968
-5.816997	-4.421555
-5.891156	-4.37413
-5.813105	-4.433615
-5.885694	-4.385094
-5.938987	-4.256844
-5.867986	-4.335171
-5.824222	-4.413399
-5.796577	-4.464302
-5.905831	-4.305738
-5.890874	-4.344213
-5.852163	-4.449985
-5.809669	-4.409253
-5.885169	-4.409976
-5.927731	-4.305259
-6.010523	-4.223618
-5.86972	-4.303939
-5.836491	-4.324022
-5.880655	-4.33901
-5.853431	-4.36873
-5.871917	-4.384445
-5.921325	-4.27909
-5.874322	-4.330778
-6.000247	-4.257557
-5.911022	-4.330942
-5.958156	-4.365213
-5.877844	-4.342796
-5.832223	-4.43122
-5.874454	-4.360095
-5.823891	-4.466157
-5.845033	-4.462253
-5.696403	-4.526657
-5.775727	-4.425614
-5.696507	-4.580381
-5.741662	-4.474579
-5.729883	-4.493207
-5.730653	-4.583644
-5.793107	-4.432776
-5.768386	-4.425565
-5.716088	-4.496786
-5.761074	-4.434954
-5.681151	-4.591223
-5.80659	-4.444605
-5.796506	-4.488659
-5.775057	-4.498625
-5.81616	-4.39911
-5.936645	-4.263594
-5.776024	-4.458536
-5.771302	-4.568817
-5.839814	-4.402908
