isConverged	Q1	Q20	Q30	Q40	q5	q6	q7	q8	EHFB
True	0.0	33.492794	2e-06	1.26075	0.0	0.410133	0.0	0.147484	-1887.946226
True	0.0	32.431201	1e-06	1.182541	0.0	0.35215	0.0	0.131956	-1888.998509
True	1e-06	32.996346	1e-06	1.220352	0.0	0.404516	0.0	0.148876	-1888.576252
True	2e-06	32.968709	1e-06	1.221568	0.0	0.393236	0.0	0.144955	-1887.112895
True	3e-06	33.122361	0.0	1.237771	0.0	0.380135	1e-06	0.142812	-1888.839437
True	2e-06	32.72383	0.0	1.208884	0.0	0.35337	0.0	0.135408	-1888.71562
True	0.0	32.229263	1e-06	1.199977	0.0	0.291312	0.0	0.122999	-1890.137408
True	0.0	33.145531	4e-06	1.258115	1e-06	0.366142	1e-06	0.138374	-1888.458392
True	1e-06	33.455397	1e-06	1.270728	0.0	0.398184	0.0	0.147734	-1888.29057
True	1e-06	33.484852	2e-06	1.260893	0.0	0.404314	0.0	0.147899	-1888.442323
True	3e-06	34.030957	3e-06	1.29524	0.0	0.44743	1e-06	0.159515	-1889.025605
True	3e-06	33.762518	2e-06	1.27226	0.0	0.449055	1e-06	0.166936	-1889.523014
True	1e-06	32.226511	0.0	1.204644	0.0	0.284923	0.0	0.117075	-1889.107885
True	4e-06	33.222462	1e-06	1.243729	0.0	0.385276	1e-06	0.146525	-1889.3785
True	1e-06	32.741134	2e-06	1.231491	0.0	0.324947	0.0	0.12883	-1889.751412
True	1e-06	33.255161	4e-06	1.246111	1e-06	0.399812	0.0	0.147229	-1888.594255
True	1e-06	32.859594	3e-06	1.229154	0.0	0.349509	0.0	0.133268	-1889.145099
True	1e-06	33.032094	5e-06	1.249093	0.0	0.350275	0.0	0.133243	-1889.367727
True	3e-06	33.297044	5e-06	1.254666	0.0	0.389905	1e-06	0.143148	-1888.843864
True	1e-06	33.338499	5e-06	1.253341	1e-06	0.411	0.0	0.149158	-1888.56214
True	0.0	33.290089	3e-06	1.247085	0.0	0.408234	0.0	0.148098	-1888.153439
True	2e-06	33.612801	4e-06	1.25592	0.0	0.450499	0.0	0.15617	-1888.139813
True	1e-06	32.348075	3e-06	1.21128	0.0	0.306698	0.0	0.115917	-1888.932994
True	2e-06	32.199439	2e-06	1.206009	0.0	0.282092	0.0	0.109339	-1889.262026
True	2e-06	32.68237	3e-06	1.224707	0.0	0.331568	0.0	0.116719	-1888.340307
True	2e-06	32.400494	1e-06	1.196872	0.0	0.33159	0.0	0.117194	-1888.781138
True	1e-06	33.209069	1e-06	1.218672	0.0	0.421308	0.0	0.134386	-1887.810162
True	1e-06	32.5626	0.0	1.179545	0.0	0.392804	0.0	0.135781	-1889.025311
True	2e-06	32.657586	2e-06	1.192139	0.0	0.377402	1e-06	0.131967	-1888.629075
True	0.0	33.403425	2e-06	1.231009	0.0	0.452898	0.0	0.153695	-1888.087422
True	1e-06	33.87335	2e-06	1.246892	0.0	0.508897	0.0	0.171524	-1888.405411
True	1e-06	32.522694	0.0	1.206244	0.0	0.342937	0.0	0.126559	-1888.463685
True	0.0	33.011807	2e-06	1.216405	0.0	0.398113	0.0	0.139575	-1888.984672
True	1e-06	32.684835	2e-06	1.202998	0.0	0.359715	0.0	0.131868	-1888.385457
True	3e-06	33.194922	1e-06	1.22483	0.0	0.412381	0.0	0.148631	-1888.936461
True	1e-06	33.480822	1e-06	1.253905	0.0	0.414725	1e-06	0.147487	-1888.778416
True	1e-06	34.050152	0.0	1.275245	0.0	0.473927	0.0	0.158593	-1889.481788
True	1e-06	33.751545	5e-06	1.256387	0.0	0.466339	0.0	0.157095	-1889.352835
True	2e-06	32.768951	2e-06	1.221799	0.0	0.355067	0.0	0.130305	-1888.183358
True	1e-06	33.487597	3e-06	1.239738	0.0	0.443418	0.0	0.152291	-1887.716278
True	4e-06	34.261475	6e-06	1.282675	0.0	0.496084	1e-06	0.162734	-1888.319425
True	0.0	33.606417	7e-06	1.264364	0.0	0.416107	1e-06	0.142637	-1888.424989
True	2e-06	33.895409	6e-06	1.273944	0.0	0.444467	1e-06	0.146089	-1888.93332
True	2e-06	33.465447	1e-06	1.245328	0.0	0.423858	0.0	0.140076	-1888.735008
True	1e-06	33.465361	2e-06	1.241904	0.0	0.437996	0.0	0.145366	-1888.655936
True	2e-06	33.588496	0.0	1.258013	0.0	0.421714	0.0	0.140244	-1887.487904
True	2e-06	33.279394	1e-06	1.247498	0.0	0.392951	0.0	0.138339	-1887.452894
True	2e-06	33.520547	0.0	1.244455	0.0	0.430657	0.0	0.144234	-1888.842425
True	2e-06	33.487892	2e-06	1.238784	0.0	0.435595	0.0	0.140924	-1887.815184
True	2e-06	34.020896	4e-06	1.262671	0.0	0.486726	1e-06	0.16115	-1888.547442
True	0.0	33.279675	2e-06	1.230914	0.0	0.412518	0.0	0.139979	-1887.997806
True	2e-06	33.289432	1e-06	1.242005	0.0	0.40628	0.0	0.144078	-1887.970373
True	1e-06	33.667826	2e-06	1.257955	0.0	0.431952	0.0	0.145585	-1888.901088
True	0.0	33.836168	0.0	1.271238	0.0	0.443226	0.0	0.151215	-1887.620251
True	1e-06	34.067186	5e-06	1.283026	0.0	0.45897	0.0	0.153323	-1887.564455
True	2e-06	33.616369	2e-06	1.24961	0.0	0.436128	1e-06	0.145755	-1887.927887
True	3e-06	34.138346	9e-06	1.293043	1e-06	0.456052	0.0	0.160704	-1888.620679
True	3e-06	34.223015	1.1e-05	1.304554	1e-06	0.446449	0.0	0.148488	-1887.689331
True	2e-06	33.737436	3e-06	1.283489	0.0	0.402092	0.0	0.137719	-1887.876502
True	1e-06	33.497667	1e-06	1.253103	0.0	0.421309	0.0	0.144394	-1888.703147
